Job Title,Company,Link,Job_Description,Location,Job_Rec
Data Scientist,ECS,https://www.indeed.co.in/rc/clk?jk=be46fc915503ceb0&fccid=ceac840501d0b264&vjs=3,"Key Responsibilities: Team leads for small or module leads for large teams. Responsible for delivery of assigned module/ components /phases of a project.Responsible for people Management, including goal setting and providing performance feedback.Responsible for Status reporting .Responsible for Knowledge transfer and arriving at SLAs for steady state.Technical problem solving skills. Job Requirement and Skills Has a good practical understanding of technology and its application. Good grasp of technology and tools used for development. Good design skills and architectural skills in the technical area.Fair amount of domain expertise gained through working on the application or certification programs (if working in a vertical).Good understanding of the sphere of activities in a horizontal domain. Anticipates and resolves potential problems , handles escalations. Supervisory Level: Works under general supervision with few direct instructions. Carries out routine and semi-routine tasks. Provides input to project-related decisions.People Interactions Within own team or department at operational level.Contact with user/customer at peer / first /middle management level. Qualifications

About ECS

ECS is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., ECS is ranked 205 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how ECS helps clients lead with digital at www.theecsinc.com or follow us on Twitter:ECS.",chennai,data scientist
Designation –Data Scientist,Sybrant Data,https://www.indeed.co.in/rc/clk?jk=96e14070d93eb226&fccid=0f5b194125dee5ec&vjs=3,"Experience – 2 to 4 Years
Education - B.Sc / M.Sc (Maths / Statistics) B.Tech /B.E. – Computer Science
Job Description:
2 - 4 years of experience in machine learning and data mining
Excellent understanding of different software such as Perl, Python, Hadoop, Java and R programming
Strong technical background and have excellent problem-solving abilities
Good in at least one programming or scripting language
Understanding of databases and ability to write SQL queries
Excellent oral and written communication skills with business acumen
Should be a self-starter with high initiative and enthusiastic to learn and deliver on latest tools and technologies
Experience worked in big data environment is an added advantage",chennai,data scientist
New Associate-Pharmacovigilance,Accenture,https://www.indeed.co.in/rc/clk?jk=7b26e49e8be60656&fccid=a4e4e2eaf26690c9&vjs=3,"Job Description
Job Skill: Pharmaceutical Drug Safety Surveillance
Designation: Management Level - 13-New Associate
Job Location: Chennai
Qualifications: BCom/Bachelor of Arts
Years of Experience: 0-2 years
About Accenture
Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine unmatched experience and specialized capabilities across more than 40 industries - powered by the world's largest network of Advanced Technology and Intelligent Operations centers. With 513,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises. Visit us at www.accenture.com
Job Summary
You will be aligned with our Pharmaceuticals Processes vertical and help us with the processes to collect, monitor, research, assess and evaluate information on the adverse effects of medication with a view to identifying new information about hazards associated with medicines and consequently, prevent harm to patients. It also deals with the reviewing and resolving of discrepancies identified by the system or through manual checks as per guidelines. Employees under this span can also be responsible for a number of activities related to the design, development, and maintenance of Clinical Database objects.
You will be working as a part of Pharmacovigilance team which designs and maintains a safety database to monitor single case support activities; source distribution for business partners and to perform medical literature searches. Responsible for data entry, MedDRA coding and label assessment of adverse event in SUSAR cases. If there are issues with the provided information, scientist is contacted for verification.
Pharmaceutical Drug Safety Surveillance is the pharmacological science relating to the collection, detection, assessment, monitoring, and prevention of adverse effects with pharmaceutical products
Good to have skills: Attention to Detail
Roles and Responsibilities
In this role you are required to solve routine problems, largely through precedent and referral to general guidelines. Your primary interaction is within your own team and your direct supervisor. In this role you will be given detailed instructions on all tasks. The decisions that you make impact your own work and are closely supervised. You will be an individual contributor as a part of a team with a predetermined, narrow scope of work. Please note that this role may require you to work in rotational shifts.
Qualifications
BCom/Bachelor of Arts",chennai,data scientist
Data Analytics,Infochola,https://www.indeed.co.in/rc/clk?jk=c61dcff3a1feabfa&fccid=47d6d98c145c184f&vjs=3,"Job Summary
Responsible for designing &amp; developing analysis with Dashboards, Visualizations, Analytical tools, templates.
If your expertise lies in handling complex customer requests and problem resolution, a position as Senior Analyst is ideal for you. In this role, you will be responsible for Creation and maintenance of Dashboard, Visualizations, Analytical tools &amp; Regulatory data. To qualify for this role, you need to have at least three years of experience in Financial Services.
JOB RESPONSIBILITY
Design, develop, document, and test Business Intelligence solutions using industry standard tools.
Provide periodic updates to Analytical tools, Bug fixes and Maintenance of Dashboards, visualizations, templates etc.
Develop R Programming, Python programming as per business needs.
Collect customer feedback and Develop case stories, Maintain Best Practise
Facilitate requirements gathering sessions with business and technical stakeholders to distil data and reporting requirements from business requests.
Coordinate design and development efforts with client stakeholders to ensure the solution delivered meets the business need and is consistent with approved architectural standards.
Performance tuning to ensure a responsive solution.
Performs advanced data mining &amp; analytics on all productivity and reliability data to identify opportunities to further improve waste elimination and improve how work is performed.
Leads or participates in efforts to define additional productivity data needed to identify &amp; eliminate waste and in the subsequent efforts to develop and improve electronic tools and systems for the said purpose
Develops processes to utilize other data sources to validate &amp; improve planning standards
Develops management reports on productivity based on advanced data mining &amp; analytics
Analyse data utilizing a varied set of analytical tools (Statistical, Business Intelligence reporting tools, SQL, spreadsheets, etc.)
Create and deliver presentations and reports to clients on insights derived from the analysis
Manage the tools and processes around the creation of enriched data for our clients
Participate in a range of client engagement types including sales support, proof of concepts &amp; pilots, standard SaaS engagements and one-off consulting projects
Work closely with Full Contact s Data and Engineering teams to deliver on client needs
JOB SKILLS
Experience with Marketing &amp; CRM analytics, tools, and strategies in a B2C context
Experience working with Business Intelligence tools
Experience with Machine Learning &amp; Modelling Techniques (Random Forest etc.)
Customer service, CRM, Analytics, Data analysis, SQL, Consulting
Very good experience in Python/R, SQL or on related machine learning technologies
Have at least 2 years hands-on experience developing, implementing and maintain production ML Applications
Strong background on statistics and data analysis",chennai,data scientist
Data Scientist,Core HR Services Pvt. Ltd,https://www.freshersworld.com/jobs/data-scientist-jobs-in-chennai-core-hr-services-pvt-ltd-1012122,", Handson knowledge of Python for building production ready data products Strong Statistical Analysis and Modeling skills Proven skills in Data Science Data Mining Machine Learning covering the spectrum of supervised as well as unsupervised learning algorithms Ability to grasp and work with new technologies quickly Knowledge of Reinforcement Learning is a plus Some knowledge of big data technologies like Hadoop Apache Spark will be an added advantageAn analytical approach towards problem solvingExperience with data extraction and managementExperience with R Python for Data Analysis and Data modeling Ability to set goals and meet deadlines in a fast paced working environment Understanding of ECommerce and Advertising as a domain Willingness to work for a startup Individual Contributor with a sense of Business Acumen and a hunger to make an impactJob SummaryJob Type : Full TimeJob Role : IT Software-EngineerJob Category : IT/Software,DiplomaHiring Process :  Face to Face InterviewWho can apply : Freshers and Experienced (0 to 3 yrs )",chennai,data scientist
Data Analyst/ Data Scientist/ Data Engineer,CAIA- CENTER FOR AI AND ANALYTICS,https://www.freshersworld.com/jobs/data-analyst-data-scientist-data-engineer-jobs-in-bangalore-pune-chennai-caia-center-for-ai-and-analytics-1019122,", Greetings from CAIA - Systech Solutions.We would like to Inform you that your profile has been shortlisted for the position of Data Analyst in our company.A brief about our organisation Systech - CAIA: Systech Solutions is a leading Data Strategy, Management &amp; Analytics services provider with deep technology expertise and over 20 Years of industry experience. Systech Solutions helps empower clients with innovative, data-driven solutions to re imagine their enterprise and has forged partnerships with industry-leading technology providers to develop a full spectrum of data services.The role of Data Analyst at Systech Solutions:Work with the Data management life-cycle using concepts and toolsData wrangling using Python and data visualization toolsDevelop data set processes for data modelling and mining andIntegrate new data management technologies and software engineering tools into existing structureSelection Process:Round 1: Aptitude test (150 mins)Round 2: Face to face discussionRound 3: Technical test (Python/SQL)Round 4:  HR discussion Job SummaryJob Type : Full TimeJob Role : IT Software-EngineerJob Category : IT/Software,BSc/BCA/BBMHiring Process :  Written-test, Telephonic InterviewWho can apply : Experienced (3+ yrs)",chennai,data scientist
Data Entry,RMS Solutions Inc,https://www.freshersworld.com/jobs/data-entry-jobs-in-bangalore-mumbai-chennai-rms-solutions-inc-1010204,",  Be prepared for a high emerging career. Start working from home to place online advertisements for selected products and services. No management issues. Training materials and online supportJob SummaryJob Type : Part TimeJob Role : Data Entry /Back OfficeJob Category : Computer OperatorHiring Process :  Face to Face InterviewWho can apply : Freshers",chennai,data scientist
Data Analyst,IIBM Institute of Business Management,https://www.freshersworld.com/jobs/data-analyst-jobs-in-bangalore-chennai-hyderabad-iibm-institute-of-business-management-1001937,",  IIBM institute requires freshers for MNC;sCandidates will be trained and will be placed after training in MNC's.Over 25,000 candidates trained since 2008.Candidates from all over India can apply...................................................................................................................................................................................................................................................................................................................................................... Job SummaryJob Type : Full TimeJob Role : IT Software-EngineerJob Category : IT/Software,BSc/BCA/BBM,Work from HomeHiring Process :  Telephonic InterviewWho can apply : Freshers",chennai,data scientist
Data Protection,Core HR Services Pvt. Ltd,https://www.freshersworld.com/jobs/data-protection-jobs-in-chennai-core-hr-services-pvt-ltd-1013654,",  Create policy for data classification as per the guideline Provide recommendations for gaps identified Update Policy to data privacy compliance Assist in the implementation of data leakage prevention tool Monitor loss mitigation systemSkills: data leakage , loss mitigation, Legal Compliance, Compliance, Data Protection, data classification, Hp Data Protector, Data PrivacyExperience: 3.00-4.00 YearsJob SummaryJob Type : Full TimeJob Role : OthersJob Category : OthersHiring Process :  Face to Face InterviewWho can apply : Experienced (3 to 3+ yrs)",chennai,data scientist
Data Entry,JVKDS ENTERPRICES,https://www.freshersworld.com/jobs/data-entry-jobs-in-chennai-jvkds-enterprices-1017886,",  1. needed to enter our client information and report to respective manager,2. data handling of client information,manage the client database,3. there is no work from home,4. based on your performance your salary will increase 5.notice period is 30daysJob SummaryJob Type : Full TimeJob Role : Data Entry /Back OfficeJob Category : Computer OperatorHiring Process :  Face to Face Interview, Telephonic InterviewWho can apply : Freshers",chennai,data scientist
Online Data Entry,Web solutions,https://www.freshersworld.com/jobs/online-data-entry-jobs-in-bangalore-chennai-noida-web-solutions-1001815,", Part time work at your home Online Home-based job offer, Students, housewives, elders anyone can do it.Data entry manual typing work offer required home pc ,laptop  or smart phone is must Looking for good typists for data entry works Wanted Data Entry operators.Daily  3 to 4 hr maximum 100% genuine for more details contact -Job SummaryJob Type : Part TimeJob Role : Data Entry /Back OfficeJob Category : Part Time,Computer Operator,Work from HomeHiring Process :  Telephonic InterviewWho can apply : Freshers",chennai,data scientist
